Aal;Kcal,KiloCalorie,213;Kjoule,KiloJoule,893;Water,Gram,66.2;Eiwit,Gram,16;Koolhydraten,Gram,0;Suikers,Gram,0;Vet,Gram,16.8;Verzadigd vet,Gram,4;Enkelvoudig onverzadigd vet,Gram,11.5;Meervoudig onverzadigd vet,Gram,1;Cholesterol,MilliGram,220;Voedingsvezel,Gram,0;Vitamine A,MilliGram,0.44;Vitamine B1,MilliGram,0.1;Vitamine B2,MilliGram,0.35;Vitamine B6,MilliGram,0.16;Vitamine B11,MicroGram,0;Vitamine B12,MicroGram,0.8;Vitamine C,MilliGram,2.2;Vitamine D,MicroGram,0;Natrium,MilliGram,100;Kalium,MilliGram,240;Calcium,MilliGram,20;Fosfor,MilliGram,200;IJzer,MilliGram,1;Magnesium,MilliGram,20;Koper,MilliGram,0.08;Zink,MilliGram,1.2
Aalbessen, rode bessen;Kcal,KiloCalorie,51;Kjoule,KiloJoule,213;Water,Gram,82.9;Eiwit,Gram,1.1;Koolhydraten,Gram,7.9;Suikers,Gram,6;Vet,Gram,0.1;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,7.9;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0.07;Vitamine B2,MilliGram,0.02;Vitamine B6,MilliGram,0.07;Vitamine B11,MicroGram,10;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,10;Vitamine D,MicroGram,0;Natrium,MilliGram,1;Kalium,MilliGram,238;Calcium,MilliGram,29;Fosfor,MilliGram,27;IJzer,MilliGram,1;Magnesium,MilliGram,12;Koper,MilliGram,0.1;Zink,MilliGram,0.2
Aardappel, zoet, bataat;Kcal,KiloCalorie,96;Kjoule,KiloJoule,402;Water,Gram,74.1;Eiwit,Gram,1.3;Koolhydraten,Gram,21;Suikers,Gram,3;Vet,Gram,0.1;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,2.5;Vitamine A,MilliGram,0.7;Vitamine B1,MilliGram,0.14;Vitamine B2,MilliGram,0.05;Vitamine B6,MilliGram,0.39;Vitamine B11,MicroGram,13;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,26;Vitamine D,MicroGram,0;Natrium,MilliGram,25;Kalium,MilliGram,330;Calcium,MilliGram,30;Fosfor,MilliGram,42;IJzer,MilliGram,0.5;Magnesium,MilliGram,22;Koper,MilliGram,0.16;Zink,MilliGram,0.14
Aardappel, zoet, bataat, gekookt;Kcal,KiloCalorie,85;Kjoule,KiloJoule,356;Water,Gram,76;Eiwit,Gram,1.3;Koolhydraten,Gram,19.1;Suikers,Gram,5.5;Vet,Gram,0.2;Verzadigd vet,Gram,0.1;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,2.4;Vitamine A,MilliGram,0.4;Vitamine B1,MilliGram,0.07;Vitamine B2,MilliGram,0.01;Vitamine B6,MilliGram,0.1;Vitamine B11,MicroGram,8;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,15;Vitamine D,MicroGram,0;Natrium,MilliGram,30;Kalium,MilliGram,250;Calcium,MilliGram,25;Fosfor,MilliGram,40;IJzer,MilliGram,0.7;Magnesium,MilliGram,32;Koper,MilliGram,0.12;Zink,MilliGram,0.25
Aardappelen, gebakken;Kcal,KiloCalorie,126;Kjoule,KiloJoule,529;Water,Gram,73;Eiwit,Gram,2;Koolhydraten,Gram,16;Suikers,Gram,1;Vet,Gram,5.5;Verzadigd vet,Gram,2.5;Enkelvoudig onverzadigd vet,Gram,0.8;Meervoudig onverzadigd vet,Gram,1.6;Cholesterol,MilliGram,0;Voedingsvezel,Gram,2.5;Vitamine A,MilliGram,0.05;Vitamine B1,MilliGram,0.08;Vitamine B2,MilliGram,0.05;Vitamine B6,MilliGram,0.24;Vitamine B11,MicroGram,10;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,8;Vitamine D,MicroGram,0.4;Natrium,MilliGram,20;Kalium,MilliGram,420;Calcium,MilliGram,8.5;Fosfor,MilliGram,45;IJzer,MilliGram,0.6;Magnesium,MilliGram,15;Koper,MilliGram,0.1;Zink,MilliGram,0.2
Aardappelen, gekookt;Kcal,KiloCalorie,82;Kjoule,KiloJoule,346;Water,Gram,77.4;Eiwit,Gram,2;Koolhydraten,Gram,17;Suikers,Gram,0;Vet,Gram,0.1;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,2.5;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0.08;Vitamine B2,MilliGram,0.05;Vitamine B6,MilliGram,0.25;Vitamine B11,MicroGram,9;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,8;Vitamine D,MicroGram,0;Natrium,MilliGram,3;Kalium,MilliGram,440;Calcium,MilliGram,9;Fosfor,MilliGram,50;IJzer,MilliGram,0.5;Magnesium,MilliGram,20;Koper,MilliGram,0.1;Zink,MilliGram,0.3
Aardappelen, rauw;Kcal,KiloCalorie,85;Kjoule,KiloJoule,357;Water,Gram,76.7;Eiwit,Gram,2;Koolhydraten,Gram,17.6;Suikers,Gram,0;Vet,Gram,0.1;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,2.6;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0.11;Vitamine B2,MilliGram,0.04;Vitamine B6,MilliGram,0.32;Vitamine B11,MicroGram,20;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,16;Vitamine D,MicroGram,0;Natrium,MilliGram,2;Kalium,MilliGram,450;Calcium,MilliGram,5;Fosfor,MilliGram,50;IJzer,MilliGram,0.5;Magnesium,MilliGram,20;Koper,MilliGram,0.2;Zink,MilliGram,0.3
Aardappelkroketjes;Kcal,KiloCalorie,223;Kjoule,KiloJoule,936;Water,Gram,55.8;Eiwit,Gram,3.2;Koolhydraten,Gram,27;Suikers,Gram,1;Vet,Gram,11;Verzadigd vet,Gram,3;Enkelvoudig onverzadigd vet,Gram,6.5;Meervoudig onverzadigd vet,Gram,1;Cholesterol,MilliGram,1.5;Voedingsvezel,Gram,2;Vitamine A,MilliGram,0.03;Vitamine B1,MilliGram,0.07;Vitamine B2,MilliGram,0.08;Vitamine B6,MilliGram,0.3;Vitamine B11,MicroGram,1;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,6;Vitamine D,MicroGram,0;Natrium,MilliGram,500;Kalium,MilliGram,350;Calcium,MilliGram,45;Fosfor,MilliGram,50;IJzer,MilliGram,0.9;Magnesium,MilliGram,0;Koper,MilliGram,0;Zink,MilliGram,0
Aardappelpuree (instant, bereid);Kcal,KiloCalorie,99;Kjoule,KiloJoule,418;Water,Gram,79.3;Eiwit,Gram,3.5;Koolhydraten,Gram,12;Suikers,Gram,0;Vet,Gram,4.2;Verzadigd vet,Gram,1.7;Enkelvoudig onverzadigd vet,Gram,0.7;Meervoudig onverzadigd vet,Gram,1.3;Cholesterol,MilliGram,0.8;Voedingsvezel,Gram,0;Vitamine A,MilliGram,0.03;Vitamine B1,MilliGram,0.04;Vitamine B2,MilliGram,0.65;Vitamine B6,MilliGram,0.6;Vitamine B11,MicroGram,8;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,1;Vitamine D,MicroGram,0.1;Natrium,MilliGram,250;Kalium,MilliGram,300;Calcium,MilliGram,45;Fosfor,MilliGram,80;IJzer,MilliGram,0.3;Magnesium,MilliGram,15;Koper,MilliGram,0.05;Zink,MilliGram,0.25
Aardappelschijfjes, gemiddeld;Kcal,KiloCalorie,141;Kjoule,KiloJoule,591;Water,Gram,68.5;Eiwit,Gram,2;Koolhydraten,Gram,20.5;Suikers,Gram,1;Vet,Gram,5;Verzadigd vet,Gram,2.4;Enkelvoudig onverzadigd vet,Gram,1.2;Meervoudig onverzadigd vet,Gram,0.6;Cholesterol,MilliGram,0.6;Voedingsvezel,Gram,3;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0.1;Vitamine B2,MilliGram,0.05;Vitamine B6,MilliGram,0.3;Vitamine B11,MicroGram,15;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,12;Vitamine D,MicroGram,0;Natrium,MilliGram,15;Kalium,MilliGram,360;Calcium,MilliGram,5;Fosfor,MilliGram,60;IJzer,MilliGram,0.5;Magnesium,MilliGram,0;Koper,MilliGram,0;Zink,MilliGram,0
Aardappelzetmeel;Kcal,KiloCalorie,329;Kjoule,KiloJoule,1378;Water,Gram,17.9;Eiwit,Gram,0.1;Koolhydraten,Gram,81;Suikers,Gram,5;Vet,Gram,0;Verzadigd vet,Gram,0;Enkelvoudig onverzadigd vet,Gram,0;Meervoudig onverzadigd vet,Gram,0;Cholesterol,MilliGram,0;Voedingsvezel,Gram,0;Vitamine A,MilliGram,0;Vitamine B1,MilliGram,0;Vitamine B2,MilliGram,0;Vitamine B6,MilliGram,0;Vitamine B11,MicroGram,0;Vitamine B12,MicroGram,0;Vitamine C,MilliGram,0;Vitamine D,MicroGram,0;Natrium,MilliGram,8;Kalium,MilliGram,10;Calcium,MilliGram,20;Fosfor,MilliGram,30;IJzer,MilliGram,0.5;Magnesium,MilliGram,2;Koper,MilliGram,0.1;Zink,MilliGram,0.2
